Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,Greedy No. Changed Names,Greedy No. Changed Tokens,Replaced Names,GA No. Changed Names,GA No. Changed Tokens,Attack Type,Query Times,Time Cost,Suc Type,Insert Words,orig prob,current prob
0,"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}
",16,"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
",-1,"serialize,out","serialize:0.5190907300583254,out:0.8089991563424169,",0,0,,0,0,Greedy,3,0.022049609820048013,failed,[],1.0,1.0
1,"public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}
",75,"public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}
","public virtual void AddAll(NGit.Util.BlockList<T> src){if (src.size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx != 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
","public virtual void AddAll(BlockList<T> src){if (src.Size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx!= 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
","public virtual void AddAll(BlockList<T> src){if (src.Size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx!= 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
",-1,"addAll,src,srcDirIdx","addAll:0.4766614215813974,src:0.6558531023356671,srcDirIdx:0.4461619800229788,",0,0,,0,0,Greedy,4,0.04704310894012451,failed,[],0.8572086966206746,0.8572086966206746
2,"public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
",52,"public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
","public override void WriteByte(byte b){if (outerInstance.upto == outerInstance.blockSize){if (outerInstance.currentBlock != null){outerInstance.blocks.Add(outerInstance.currentBlock);outerInstance.blockEnd.Add(outerInstance.upto);}outerInstance.currentBlock = new byte[outerInstance.blockSize];outerInstance.upto = 0;}outerInstance.currentBlock[outerInstance.upto++] = (byte)b;}
","public virtual void WriteByte(byte b){if (upto == blockSize){if (currentBlock!= null){AddBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
","public virtual void WriteByte(byte b){if (upto == blockSize){if (currentBlock!= null){AddBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
",-1,"writeByte,b,currentBlock,upto","writeByte:0.04412708541209143,b:0.04860957891253109,currentBlock:0.03166576131302973,upto:0.007076974738491809,",0,0,,0,0,Greedy,17,0.3253322879473368,failed,[],0.14441875252956723,0.14441875252956723
3,"public ObjectId getObjectId() {return objectId;}
",10,"public ObjectId getObjectId() {return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
",-1,getObjectId,"getObjectId:0.4014414244369563,",0,0,,0,0,Greedy,2,0.0036921977996826174,failed,[],0.75,0.75
4,"public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}
",22,"public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
",-1,"deleteDomainEntry,request","deleteDomainEntry:0.0,request:0.5003771484911024,",0,0,,0,0,Greedy,3,0.025075129667917886,failed,[],1.0,1.0
5,"public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}
",40,"public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}
","public virtual long RamBytesUsed(){return fst == null ? 0 : fst.GetSizeInBytes();}
","public override long RamBytesUsed(){return ((termOffsets!= null)? termOffsets.RamBytesUsed() : 0) + ((termsDictOffsets!= null)? termsDictOffsets.RamBytesUsed() : 0);}
","public override long RamBytesUsed(){return ((termOffsets!= null)? termOffsets.RamBytesUsed() : 0) + ((termsDictOffsets!= null)? termsDictOffsets.RamBytesUsed() : 0);}
",-1,ramBytesUsed,"ramBytesUsed:0.06866716634361009,",0,0,,0,0,Greedy,2,0.012200665473937989,failed,[],0.4072648332641609,0.4072648332641609
6,"public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}
",56,"public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB, raw.Length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}return RawParseUtils.Decode(GuessEncoding(), raw, msgB, raw.Length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}return RawParseUtils.Decode(GuessEncoding(), raw, msgB, raw.Length);}
",-1,"getFullMessage,raw,msgB","getFullMessage:0.3459935291786237,raw:0.5739658878286813,msgB:0.6017037128560643,",0,0,,0,0,Greedy,4,0.03829495509465535,failed,[],0.6833535496457696,0.6833535496457696
7,"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
",82,"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
","public POIFSFileSystem(){HeaderBlock headerBlock = new HeaderBlock(bigBlockSize);_property_table = new PropertyTable(headerBlock);_documents      = new ArrayList();_root           = null;}
","public POIFSFileSystem(){_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock bb = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);bb.OurBlockIndex = 1;_bat_blocks.Add(bb);NextBlock(0, POIFSConstants.END_OF_CHAIN);NextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
","public POIFSFileSystem(){_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock bb = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);bb.OurBlockIndex = 1;_bat_blocks.Add(bb);NextBlock(0, POIFSConstants.END_OF_CHAIN);NextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
",-1,"this,bb","this:-0.05654172723564729,bb:0.03059666501281924,",0,0,,0,0,Greedy,3,0.048645734786987305,failed,[],0.1956033194547314,0.1956033194547314
8,"public void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}
",46,"while False:
	upto=slicepublic void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}","public void Init(int address){slice = pool.Buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice != null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public override void Init(int address){slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice!= null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public virtual void Init(int address){Slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice!= null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}while False:
	upto=SlicePrint(upto)public virtual void Init(int address){Slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice!= null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
",-1,"init,address,slice,upto,offset0","init:0.580949647141847,address:0.6844653320285425,slice:0.592069597527888,upto:0.49782630219361146,offset0:0.6359460591947614,",0,0,,0,0,Greedy,21,0.6610927661259969,failed,"['print(upto)', 'while False:\n\tupto=slice']",0.8438284997447196,0.6306464594707477
9,"public SubmoduleAddCommand setPath(String path) {this.path = path;return this;}
",18,"if False:
	this=thiswhile False:	this=pathpublic SubmoduleAddCommand setPath(String path) {this.path = path;return this;}","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}if False:
	this=thisprint(this)while False:	this=pathpublic virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}if False:
	this=thisprint(this)while False:	this=pathpublic virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}if False:
	this=thisprint(this)while False:	this=thisprint(this)while False:	this=pathpublic virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}if False:
	this=thisprint(this)while False:	this=pathpublic virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}if False:
	this=thisprint(this)while False:	this=thisprint(this)while False:	this=path",-1,"setPath,path","setPath:0.48283443258760395,path:0.7019992470265692,",0,0,,0,0,Greedy,9,0.11834549903869629,failed,"['if False:\n\tthis=path', 'while False:\n\tthis=path', 'print(this)', 'if False:\n\tthis=this']",1.0,0.722186548075889
