Index,Original Code,Program Length,Adversarial Code,True Label,Original Prediction,Adv Prediction,Is Success,Extracted Names,Importance Score,Greedy No. Changed Names,Greedy No. Changed Tokens,Replaced Names,GA No. Changed Names,GA No. Changed Tokens,Attack Type,Query Times,Time Cost,Suc Type,Insert Words,orig prob,current prob
0,"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_vcenter);}
",16,"public void store(LittleEndianOutput format) {format.writeShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_vcenter);}
","public override void Store(ILittleEndianOutput bos){bos.WriteShort(field_1_vcenter);}
",-1,"serialize,out","serialize:0.5305388886860805,out:0.5146283515139266,",0,0,"serialize:store,out:os,",0,0,Greedy,18,0.22486869096755982,failed,[],1.0,0.4785005519047641
1,"public void addAll(BlockList<T> src) {if (src.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++)addAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);if (src.tailBlkIdx != 0)addAll(src.tailBlock, 0, src.tailBlkIdx);}
",75,"public void addAll(BlockList<T> shuffle) {if (shuffle.size == 0)return;int srcDirIdx = 0;for (; srcDirIdx < shuffle.tailDirIdx; srcDirIdx++)addAll(shuffle.directory[srcDirIdx], 0, BLOCK_SIZE);if (shuffle.tailBlkIdx != 0)addAll(shuffle.tailBlock, 0, shuffle.tailBlkIdx);}
","public virtual void AddAll(NGit.Util.BlockList<T> src){if (src.size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.tailDirIdx; srcDirIdx++){AddAll(src.directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.tailBlkIdx != 0){AddAll(src.tailBlock, 0, src.tailBlkIdx);}}
","public virtual void AddAll(BlockList<T> src){if (src.m_size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < src.m_tailDirIdx; srcDirIdx++){AddAll(src.m_directory[srcDirIdx], 0, BLOCK_SIZE);}if (src.m_tailBlkIdx != 0){AddAll(src.m_tailBlock, 0, src.m_tailBlkIdx);}}
","public virtual void AddAll(BlockList<T> process){if (process.Size == 0){return;}int srcDirIdx = 0;for (; srcDirIdx < process.TailDirIdx; srcDirIdx++){AddAll(process.Directory[srcDirIdx], 0, BLOCK_SIZE);}if (process.TailBlkIdx != 0){AddAll(process.TailBlock, 0, process.TailBlkIdx);}}
",-1,"addAll,src,srcDirIdx","addAll:0.0,src:0.010415981878107994,srcDirIdx:-0.0406902383418728,",0,0,"src:shuffle,",0,0,Greedy,46,2.0058658997217815,failed,[],0.6685731536097567,0.4798483482022369
2,"public void writeByte(byte b) {if (upto == blockSize) {if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
",52,"public void add(byte v) {if (this == blockSize) {if (v != null) {addBlock(v);}v = new byte[blockSize];this = 0;}v[this++] = v;}
","public override void WriteByte(byte b){if (outerInstance.upto == outerInstance.blockSize){if (outerInstance.currentBlock != null){outerInstance.blocks.Add(outerInstance.currentBlock);outerInstance.blockEnd.Add(outerInstance.upto);}outerInstance.currentBlock = new byte[outerInstance.blockSize];outerInstance.upto = 0;}outerInstance.currentBlock[outerInstance.upto++] = (byte)b;}
","public void WriteByte(byte b){if (upto == blockSize){if (currentBlock != null){AddBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}currentBlock[upto++] = b;}
","public virtual void Add(byte v){if (this == blockSize){if (v != null){AddBlock(v);}v = new byte[blockSize];this = 0;}v[this++] = v;}
",-1,"writeByte,b,currentBlock,upto","writeByte:0.023742606253616752,b:-0.03495684032681978,currentBlock:-0.008620689655172403,upto:0.0,",0,0,"writeByte:add,upto:this,currentBlock:buf,b:v,",0,0,Greedy,55,1.2027782599131267,failed,[],0.14281416546388329,0.09286181916139756
3,"public ObjectId getObjectId() {return objectId;}
",10,"public ObjectId Id() {return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId GetObjectId(){return objectId;}
","public virtual ObjectId Id(){return objectId;}
",-1,getObjectId,"getObjectId:0.547144527082973,",0,0,"getObjectId:Id,",0,0,Greedy,6,0.041672436396280925,failed,[],0.75,0.3954739241427606
4,"public DeleteDomainEntryResult deleteDomainEntry(DeleteDomainEntryRequest request) {request = beforeClientExecution(request);return executeDeleteDomainEntry(request);}
",22,"public DeleteDomainEntryResult update(DeleteDomainEntryRequest execute) {execute = beforeClientExecution(execute);return executeDeleteDomainEntry(execute);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse DeleteDomainEntry(DeleteDomainEntryRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteDomainEntryRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteDomainEntryResponseUnmarshaller.Instance;return Invoke<DeleteDomainEntryResponse>(request, options);}
","public virtual DeleteDomainEntryResponse Update(DeleteDomainEntryRequest input){var options = new InvokeOptions();options.RequestMarshaller = UpdateRequestMarshaller;options.ResponseUnmarshaller = UpdateResponseUnmarshaller;return Invoke<DeleteDomainEntryResponse>(input, options);}
",-1,"deleteDomainEntry,request","deleteDomainEntry:0.0,request:0.0,",0,0,"deleteDomainEntry:update,request:parent,",0,0,Greedy,20,0.5594232519467671,failed,[],1.0,0.1478631136068262
5,"public long ramBytesUsed() {return ((termOffsets!=null)? termOffsets.ramBytesUsed() : 0) +((termsDictOffsets!=null)? termsDictOffsets.ramBytesUsed() : 0);}
",40,"public long length() {return ((termOffsets!=null)? termOffsets.length() : 0) +((termsDictOffsets!=null)? termsDictOffsets.length() : 0);}
","public virtual long RamBytesUsed(){return fst == null ? 0 : fst.GetSizeInBytes();}
","public override long RamBytesUsed(){return ((TermOffsets != null) ? TermOffsets.RamBytesUsed() : 0) + ((TermsDictOffsets != null) ? TermsDictOffsets.RamBytesUsed() : 0);}
","public override long Length(){return ((TermOffsets != null) ? TermOffsets.Length : 0) + ((TermsDictOffsets != null) ? TermsDictOffsets.Length : 0);}
",-1,ramBytesUsed,"ramBytesUsed:-0.024663954574777713,",0,0,"ramBytesUsed:length,",0,0,Greedy,9,0.19655869801839193,failed,[],0.4040976380051231,0.35676134739263676
6,"public final String getFullMessage() {byte[] raw = buffer;int msgB = RawParseUtils.tagMessage(raw, 0);if (msgB < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), raw, msgB, raw.length);}
",56,"public final String decode() {byte[] get = buffer;int buffer = RawParseUtils.tagMessage(get, 0);if (buffer < 0) {return """"; }return RawParseUtils.decode(guessEncoding(), get, buffer, get.length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return string.Empty;}Encoding enc = RawParseUtils.ParseEncoding(raw);return RawParseUtils.Decode(enc, raw, msgB, raw.Length);}
","public string GetFullMessage(){byte[] raw = buffer;int msgB = RawParseUtils.TagMessage(raw, 0);if (msgB < 0){return """";}return RawParseUtils.Decode(GuessEncoding(), raw, msgB, raw.Length);}
","public string Decode(){byte[] get = buffer;int buffer = RawParseUtils.TagMessage(get, 0);if (buffer < 0){return """";}return RawParseUtils.Decode(GuessEncoding(), get, buffer, get.Length);}
",-1,"getFullMessage,raw,msgB","getFullMessage:0.0637768007632773,raw:0.20069336566882934,msgB:0.27923402674432357,",0,0,"msgB:buffer,raw:get,getFullMessage:get,",0,0,Greedy,33,0.8039609670639039,failed,[],0.6600977356922811,0.24355003825847577
7,"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock bb = BATBlock.createEmptyBATBlock(bigBlockSize, false);bb.setOurBlockIndex(1);_bat_blocks.add(bb);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
",82,"public POIFSFileSystem() {this(true);_header.setBATCount(1);_header.setBATArray(new int[]{1});BATBlock synchronized = BATBlock.createEmptyBATBlock(bigBlockSize, false);synchronized.setOurBlockIndex(1);_bat_blocks.add(synchronized);setNextBlock(0, POIFSConstants.END_OF_CHAIN);setNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.setStartBlock(0);}
","public POIFSFileSystem(){HeaderBlock headerBlock = new HeaderBlock(bigBlockSize);_property_table = new PropertyTable(headerBlock);_documents      = new ArrayList();_root           = null;}
","public POIFSFileSystem(){this(true);_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock bb = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);bb.OurBlockIndex = 1;_bat_blocks.Add(bb);SetNextBlock(0, POIFSConstants.END_OF_CHAIN);SetNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
","public POIFSFileSystem(){this(true);_header.BATCount = 1;_header.BATArray = new int[]{1};BATBlock initialize = BATBlock.CreateEmptyBATBlock(bigBlockSize, false);initialize.OurBlockIndex = 1;_bat_blocks.Add(initialize);SetNextBlock(0, POIFSConstants.END_OF_CHAIN);SetNextBlock(1, POIFSConstants.FAT_SECTOR_BLOCK);_property_table.StartBlock = 0;}
",-1,"this,bb","this:0.02518030867236351,bb:0.04863433160623551,",0,0,"bb:synchronized,",0,0,Greedy,13,0.7544890761375427,failed,[],0.1956033194547314,0.18003839539775252
8,"public void init(int address) {slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert slice != null;upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;assert upto < slice.length;}
",46,"public void free(int 0) {blocks = pool.buffers[0 >> ByteBlockPool.BYTE_BLOCK_SHIFT];assert blocks != null;address = 0 & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = 0;assert address < blocks.length;}
","public void Init(int address){slice = pool.Buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice != null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public virtual void Init(int address){slice = pool.buffers[address >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(slice != null);upto = address & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = address;Debug.Assert(upto < slice.Length);}
","public void Release(int index){blocks = pool.blocks[index >> ByteBlockPool.BYTE_BLOCK_SHIFT];Debug.Assert(blocks != null);address = index & ByteBlockPool.BYTE_BLOCK_MASK;offset0 = 0;Debug.Assert(address < blocks.Length);}
",-1,"init,address,slice,upto,offset0","init:0.007174911078960511,address:0.23372787616144752,slice:0.2668479269535988,upto:0.22313754596961666,offset0:0.1723402444915022,",0,0,"slice:blocks,address:0,upto:buffers,init:free,",0,0,Greedy,92,2.8684924642244973,failed,[],0.8641327577154697,0.30900881965910315
9,"public SubmoduleAddCommand setPath(String path) {this.path = path;return this;}
",18,"public SubmoduleAddCommand paths(String paths) {this.paths = paths;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand SetPath(string path){this.path = path;return this;}
","public virtual NGit.Api.SubmoduleAddCommand paths(string paths){this._paths = paths;return this;}
",-1,"setPath,path","setPath:0.6012508148386037,path:0.4340997813902685,",0,0,"setPath:path,path:paths,",0,0,Greedy,15,0.18624072472254435,failed,[],1.0,0.4974123126148854
10,"public ListIngestionsResult listIngestions(ListIngestionsRequest request) {request = beforeClientExecution(request);return executeListIngestions(request);}
",22,"public ListIngestionsResult get(ListIngestionsRequest call) {call = beforeClientExecution(call);return executeListIngestions(call);}
","public virtual ListIngestionsResponse ListIngestions(ListIngestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(request, options);}
","public virtual ListIngestionsResponse ListIngestions(ListIngestionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(request, options);}
","public virtual ListIngestionsResponse Get(ListIngestionsRequest input){var options = new InvokeOptions();options.RequestMarshaller = ListIngestionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListIngestionsResponseUnmarshaller.Instance;return Invoke<ListIngestionsResponse>(input, options);}
",-1,"listIngestions,request","listIngestions:0.23970819727955273,request:0.23970819727955273,",0,0,"listIngestions:get,request:req,",0,0,Greedy,19,0.5831417600313823,failed,[],1.0,0.11101779823773752
11,"public QueryParserTokenManager(CharStream stream, int lexState){this(stream);SwitchTo(lexState);}
",21,"public QueryParserTokenManager(CharStream input, int start){this(input);SwitchTo(start);}
","public QueryParserTokenManager(ICharStream stream, int lexState): this(stream){SwitchTo(lexState);}
","public QueryParserTokenManager(ICharStream stream, int lexState): base(stream){SwitchTo(lexState);}
","public QueryParserTokenManager(ICharStream input, int s): base(input){SwitchTo(s);}
",-1,"stream,lexState","stream:0.373417622203005,lexState:0.2718548879080609,",0,0,"stream:input,lexState:ch,",0,0,Greedy,17,0.2275821526845296,failed,[],0.6351270220691088,0.08510067234934053
12,"public GetShardIteratorResult getShardIterator(GetShardIteratorRequest request) {request = beforeClientExecution(request);return executeGetShardIterator(request);}
",22,"public GetShardIteratorResult get(GetShardIteratorRequest call) {call = beforeClientExecution(call);return executeGetShardIterator(call);}
","public virtual GetShardIteratorResponse GetShardIterator(GetShardIteratorRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(request, options);}
","public virtual GetShardIteratorResponse GetShardIterator(GetShardIteratorRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(request, options);}
","public virtual GetShardIteratorResponse Get(GetShardIteratorRequest input){var options = new InvokeOptions();options.RequestMarshaller = GetShardIteratorRequestMarshaller.Instance;options.ResponseUnmarshaller = GetShardIteratorResponseUnmarshaller.Instance;return Invoke<GetShardIteratorResponse>(input, options);}
",-1,"getShardIterator,request","getShardIterator:0.0,request:0.0,",0,0,"getShardIterator:get,request:resource,",0,0,Greedy,19,0.5309906244277954,failed,[],1.0,0.11101779823773752
13,"public ModifyStrategyRequest() {super(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"");setMethod(MethodType.POST);}
",25,,"public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
","public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
","public ModifyStrategyRequest(): base(""aegis"", ""2016-11-11"", ""ModifyStrategy"", ""vipaegis"", ""openAPI""){Method = MethodType.POST;}
",-3,,,,,,0,0,Greedy,1,0.020725043614705403,,,1.0,1.0
14,"public boolean ready() throws IOException {synchronized (lock) {if (in == null) {throw new IOException(""InputStreamReader is closed"");}try {return bytes.hasRemaining() || in.available() > 0;} catch (IOException e) {return false;}}}
",60,"public boolean has() throws IOException {synchronized (lock) {if (in == null) {throw new IOException(""InputStreamReader is closed"");}try {return bytes.hasRemaining() || in.available() > 0;} catch (IOException e) {return false;}}}
","public override bool ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.hasRemaining() || @in.available() > 0;}catch (System.IO.IOException){return false;}}}
","public override bool ready(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.HasRemaining() || @in.Available() > 0;}catch (System.IO.IOException){return false;}}}
","public override bool Next(){lock (@lock){if (@in == null){throw new System.IO.IOException(""InputStreamReader is closed"");}try{return bytes.HasRemaining() || @in.Available() > 0;}catch (System.IO.IOException){return false;}}}
",-1,ready,"ready:0.1818812772395787,",0,0,"ready:has,",0,0,Greedy,7,0.17327988147735596,failed,[],0.8749321403029341,0.7639516991548829
15,"public EscherOptRecord getOptRecord() {return _optRecord;}
",10,"public EscherOptRecord get() {return _optRecord;}
","protected internal EscherOptRecord GetOptRecord(){return _optRecord;}
","public EscherOptRecord GetOptRecord(){return _optRecord;}
","public EscherOptRecord Get(){return _optRecord;}
",-1,getOptRecord,"getOptRecord:0.14023824030431808,",0,0,"getOptRecord:get,",0,0,Greedy,7,0.045853805541992185,failed,[],0.2860223939199411,0.1874318589350426
16,"public synchronized int read(byte[] buffer, int offset, int length) {if (buffer == null) {throw new NullPointerException(""buffer == null"");}Arrays.checkOffsetAndCount(buffer.length, offset, length);if (length == 0) {return 0;}int copylen = count - pos < length ? count - pos : length;for (int i = 0; i < copylen; i++) {buffer[offset + i] = (byte) this.buffer.charAt(pos + i);}pos += copylen;return copylen;}
",117,"public synchronized int read(byte[] write, int write, int input) {if (write == null) {throw new NullPointerException(""buffer == null"");}Arrays.checkOffsetAndCount(write.input, write, input);if (input == 0) {return 0;}int 1 = count - 1 < input ? count - 1 : input;for (int buff = 0; buff < 1; buff++) {write[write + buff] = (byte) this.write.charAt(1 + buff);}1 += 1;return 1;}
","public override int read(byte[] buffer, int offset, int length){lock (this){if (buffer == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length == 0){return 0;}int copylen = count - pos < length ? count - pos : length;{for (int i = 0; i < copylen; i++){buffer[offset + i] = unchecked((byte)this.buffer[pos + i]);}}pos += copylen;return copylen;}}
","public override int read(byte[] buffer, int offset, int length){if (buffer == null){throw new System.ArgumentNullException(""buffer == null"");}java.util.Arrays.checkOffsetAndCount(buffer.Length, offset, length);if (length == 0){return 0;}int copylen = count - pos < length ? count - pos : length;for (int i = 0; i < copylen; i++){buffer[offset + i] = (byte)this.buffer[pos + i];}pos += copylen;return copylen;}
","public override int Read(byte[] write, int write, int input){if (write == null){throw new ArgumentNullException(""write"");}java.util.Arrays.CheckOffsetAndCount(write, input, write.Length);if (input == 0){return 0;}int data = 0;for (; data < input; data++){write[write + data] = (byte)this.write[1 + data];}data += 1;return data;}
",-1,"read,buffer,offset,length,copylen,i,pos","read:0.03726414690355728,buffer:0.242125406135151,offset:0.2183519936843933,length:0.288248598372957,copylen:0.3889903584153689,i:0.2183519936843933,pos:0.3583465147544298,",0,0,"copylen:pos,pos:1,length:input,buffer:buffer,offset:write,i:index,",0,0,Greedy,162,7.764633858203888,failed,[],0.8517949341582096,0.24191544094850204
17,"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp) {this.sentenceOp = sentenceOp;}
",14,"public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp open) {this.open = open;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp){this.sentenceOp = sentenceOp;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp sentenceOp){this.sentenceOp = sentenceOp;}
","public OpenNLPSentenceBreakIterator(NLPSentenceDetectorOp open){this.open = open;}
",-1,sentenceOp,"sentenceOp:0.6660520469373088,",0,0,"sentenceOp:open,",0,0,Greedy,9,0.11500100294748943,failed,[],1.0,0.5649787723081164
18,"public void print(String str) {write(str != null ? str : String.valueOf((Object) null));}
",28,"public void write(String line) {write(line != null ? line : String.valueOf((Object) null));}
","public virtual void print(string str){write(str != null ? str : Sharpen.StringHelper.GetValueOf((object)null));}
","public virtual void print(string str){write(str != null ? str : (object)null);}
","public virtual void Add(string line){Write(line != null ? line : (object)null);}
",-1,"print,str","print:0.20915501428978456,str:0.26987941427514484,",0,0,"str:line,print:write,",0,0,Greedy,20,0.20766566197077432,failed,[],0.7748138999744721,0.326283462863863
19,"public NotImplementedFunctionException(String functionName, NotImplementedException cause) {super(functionName, cause);this.functionName = functionName;}
",24,"public NotImplementedFunctionException(String null, NotImplementedException null) {super(null, null);this.null = null;}
","public NotImplementedFunctionException(string functionName, NotImplementedException cause): base(functionName,cause){this.functionName = functionName;}
","public NotImplementedFunctionException(String functionName, NotImplementedException cause): base(functionName, cause){this.functionName = functionName;}
","public NotImplementedFunctionException(String method, NotImplementedException method): base(method, method){this.method = method;}
",-1,"functionName,cause","functionName:0.24919559064686625,cause:0.1588880352680173,",0,0,"functionName:cause,cause:null,",0,0,Greedy,23,0.3446185111999512,failed,[],0.5854868942093372,0.3269191218394943
20,"public V next() {return super.nextEntry().getValue();}
",18,"public V peek() {return super.nextEntry().getValue();}
","public override V next(){return this.nextEntry().value;}
","public override V next(){return this.nextEntry().value;}
","public override V next(){return this.nextEntry().value;}
",-1,next,"next:0.4206721936677255,",0,0,"next:peek,",0,0,Greedy,7,0.049614874521891277,failed,[],0.75,0.29276962129420897
